obs date temp time
1 10NOV1987 11 11
2 13NOV1987 11 2
3 14NOV1987 11 -2
4 15NOV1987 20 -11
5 17NOV1987 8 -5
6 18NOV1987 12 2
7 21NOV1987 6 -6
8 22NOV1987 18 22
9 23NOV1987 19 22
10 25NOV1987 21 21
11 30NOV1987 10 8
12 05DEC1987 18 25
13 14DEC1987 20 9
14 18DEC1987 14 7
15 24DEC1987 19 8
16 26DEC1987 13 18
17 27DEC1987 3 -14
18 28DEC1987 4 -21
19 30DEC1987 3 -26
20 31DEC1987 15 -7
21 02JAN1988 15 -15
22 03JAN1988 6 -6
23 04JAN1988 5 -23
24 05JAN1988 2 -14
25 06JAN1988 10 -6
26 07JAN1988 2 -8
27 08JAN1988 0 -19
28 10JAN1988 -4 -23
29 11JAN1988 -2 -11
30 12JAN1988 5 5
31 14JAN1988 5 -23
32 15JAN1988 8 -7
33 16JAN1988 15 9
34 20JAN1988 5 -27
35 21JAN1988 -1 -24
36 22JAN1988 -2 -29
37 23JAN1988 3 -19
38 24JAN1988 6 -9
